UID          PID    PPID  C STIME TTY          TIME CMD
root       10426       2  0 13:04 ?        00:00:00 [kworker/6:1-mm_percpu_wq]
root       12564       2  0 13:08 ?        00:00:00 [kworker/7:0-cgroup_destroy]
root       12585       2  0 13:08 ?        00:00:00 [kworker/u33:5-ttm]
root       12587       2  0 13:08 ?        00:00:01 [kworker/u33:7-ttm]
root       12726       2  0 13:08 ?        00:00:00 [kworker/3:1]
root       12996       1  0 13:08 ?        00:00:00 /usr/libexec/bluetooth/bluetoothd
kernel     13001       1  0 13:08 ?        00:00:00 /usr/bin/python3 /usr/bin/blueman-tray
root       13017       2  0 13:08 ?        00:00:00 [krfcommd]
root       13064       2  0 13:09 ?        00:00:02 [kworker/u32:2+events_unbound]
root       13149       2  0 13:09 ?        00:00:00 [kworker/0:0]
kernel     13210    1755  1 13:09 ?        00:00:15 /opt/google/chrome/chrome
kernel     13214   13210  0 13:09 ?        00:00:00 cat
kernel     13215   13210  0 13:09 ?        00:00:00 cat
kernel     13217       1  0 13:09 ?        00:00:00 /opt/google/chrome/chrome_crashpad_handler --monitor-self --monitor-self-annotation=ptype=crashpad-handler --database=/home/kernel/.config/google-chrome/Crash Reports --metrics-dir=/home/kernel/.config/google-chrome --url=https://clients2.google.com/cr/report --annotation=channel= --annotation=lsb-release=Kali GNU/Linux Rolling --annotation=plat=Linux --annotation=prod=Chrome_Linux --annotation=ver=128.0.6613.84 --initial-client-fd=5 --shared-client-connection
kernel     13219       1  0 13:09 ?        00:00:00 /opt/google/chrome/chrome_crashpad_handler --no-periodic-tasks --monitor-self-annotation=ptype=crashpad-handler --database=/home/kernel/.config/google-chrome/Crash Reports --url=https://clients2.google.com/cr/report --annotation=channel= --annotation=lsb-release=Kali GNU/Linux Rolling --annotation=plat=Linux --annotation=prod=Chrome_Linux --annotation=ver=128.0.6613.84 --initial-client-fd=4 --shared-client-connection
kernel     13225   13210  0 13:09 ?        00:00:00 /opt/google/chrome/chrome --type=zygote --no-zygote-sandbox --crashpad-handler-pid=13217 --enable-crash-reporter=afe0c5aa-db83-48ad-9a4a-31eebc4db0d7, --change-stack-guard-on-fork=enable
kernel     13226   13210  0 13:09 ?        00:00:00 /opt/google/chrome/chrome --type=zygote --crashpad-handler-pid=13217 --enable-crash-reporter=afe0c5aa-db83-48ad-9a4a-31eebc4db0d7, --change-stack-guard-on-fork=enable
kernel     13228   13226  0 13:09 ?        00:00:00 /opt/google/chrome/chrome --type=zygote --crashpad-handler-pid=13217 --enable-crash-reporter=afe0c5aa-db83-48ad-9a4a-31eebc4db0d7, --change-stack-guard-on-fork=enable
kernel     13252   13225  7 13:09 ?        00:01:02 /opt/google/chrome/chrome --type=gpu-process --crashpad-handler-pid=13217 --enable-crash-reporter=afe0c5aa-db83-48ad-9a4a-31eebc4db0d7, --no-subproc-heap-profiling --change-stack-guard-on-fork=enable --gpu-preferences=UAAAAAAAAAAgAAAEAAAAAAAAAAAAAAAAAABgAAEAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAQAAABAAAAAAAAAAEAAAAAAAAAAIAAAAAAAAAAgAAAAAAAAA --shared-files --metrics-shmem-handle=4,i,10669521755871166193,14354867217873563209,262144 --field-trial-handle=3,i,3599233959022821505,15333709839166324622,262144 --variations-seed-version=20240829-180212.995000
